0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,14,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,10,0
19,0,18,17,4,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,10,0,0,0,0,0,0,2,5,0,9
18,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,12,16,11,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
0,0,0,0,16,13,0,13,16,16,17,0,0,0,0,0,0,8,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,3,0
0,5,0,0,14,13,0,0,19,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0
0,0,0,0,16,15,0,19,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0
2,0,0,0,12,14,13,11,13,0,13,0,0,10,0,0,0,6,7,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0
0,0,0,0,11,17,18,0,17,14,0,8,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,19,11,15,16,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
0,0,0,0,0,8,0,0,0,0,0,19,0,17,11,17,15,15,1,4,0,0,7,0,0,0,5,0,0,10,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,0,0,12,0,13,13,19,18,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0
0,0,0,0,7,0,0,0,0,0,0,0,15,17,0,0,13,13,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1,0,0,1,0,13,16,14,17,0,17,13,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,17,16,11,15,15,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,10,15,0,18,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,11,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,18,0,16,0,7,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19,0,14,0,17,10,9,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,17,0,17,0,8,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,15,7,2,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,19,13,12,0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,18,18,16,13,0,0,0,0
0,0,0,10,10,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,15,0,16,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,15,13,4,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,11,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,15,11,0,0,0,0,3
0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,12,17,17
5,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16,17
0,0,0,10,0,0,0,0,0,0,0,0,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,17
0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,7,0,0,7,17,15,16,0
