0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,18,11,19,18,17,13,19,12,17,16,10,4,0,6,0,0,9,7,0,0,0,5,0,2,0,0,8,6,0,0,0,7,0,1,0,1,0,6,0,9,0,0,0,4,0,6,0,0,1,1,0,6,0,0,0,1,5,0,0,2,8,0,3,0,0,0,0,0,0,9,1,0,0,3
0,0,16,16,13,15,17,19,0,14,0,6,0,0,0,0,0,4,0,0,0,2,0,0,0,4,0,0,0,1,7,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,4,0,0,0,6,9,0,0
0,16,0,18,0,15,18,13,0,11,12,2,8,0,4,0,1,3,0,5,0,0,0,0,0,0,6,0,5,0,6,0,0,0,3,0,0,9,6,0,0,0,0,0,0,9,0,6,0,0,0,0,7,0,9,0,0,0,0,7,0,9,2,3,0,0,0,0,0,0,0,2,0,0,6
16,17,14,0,14,0,12,0,0,13,16,10,0,3,2,1,3,9,0,0,5,5,0,0,1,0,0,10,0,0,0,6,0,0,9,7,0,0,0,0,0,1,0,8,0,4,0,0,4,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,13,18,0,0,14,16,15,18,11,0,9,0,0,9,0,9,0,0,0,9,6,9,10,1,9,0,0,3,1,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,4,0,9,0,4,3,0,0,0,0,0,0,1,0,0,0,0
17,16,12,18,0,0,11,14,12,0,16,6,0,3,0,3,10,6,0,10,2,0,0,1,10,10,0,0,0,9,0,0,0,2,0,7,0,0,0,0,0,5,10,0,8,0,0,0,4,5,0,0,0,0,0,0,0,1,8,0,5,0,0,0,8,5,0,0,0,0,3,0,0,0,0
12,15,16,0,0,12,0,14,18,12,11,8,1,2,2,0,0,0,0,2,0,6,0,0,0,0,0,0,0,1,0,8,8,0,7,0,0,0,1,0,0,0,0,3,3,4,0,8,6,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,7,0,5,0,0,6,2,0,0,3,2
18,0,13,18,11,11,11,0,15,18,0,8,0,7,0,0,4,0,0,10,9,8,1,0,0,0,0,9,9,0,0,0,10,10,6,0,0,0,3,0,0,0,2,0,0,0,1,0,0,9,0,0,0,0,0,7,7,0,0,9,5,0,0,0,5,0,1,0,0,0,4,0,0,0,3
0,11,17,18,16,18,16,12,0,14,15,6,9,0,0,0,0,4,2,0,0,5,0,0,0,7,7,0,0,7,7,4,0,0,0,0,2,0,0,7,0,3,0,0,3,7,3,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,4,1,0,0,0,0,5,0,0,0,0,4,0
13,17,16,19,11,12,0,11,0,0,15,5,0,0,0,6,8,0,0,0,10,0,0,0,0,2,0,0,0,0,3,0,10,0,0,4,0,0,10,0,0,0,0,0,0,6,9,0,0,0,0,0,8,0,0,2,0,8,0,1,1,8,0,0,10,0,0,0,6,0,9,0,0,0,0
