0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,1,3,2,7,8,8,0,2,4,0,9,0,1,0,0,4,0,2,3,0,0,0,0,7,1,0,5,0,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,9,0,9,0,4,0,0,4,9,7,7,8,3,0,0,7,1,0
0,0,17,11,17,14,13,14,12,11,17,0,18,19,8,0,0,0,0,0,0,2,8,0,0,0,0,9,0,2,8,3,0,0,0,0,5,0,0,0,3,7,0,6,3,4,1,4,7,0,10,2,2,0,0,2,0,0,3,1,0,0,0,5,8,2,0,0,5,3,0,0,0,0,0
6,19,0,16,11,18,0,16,0,15,12,0,16,14,3,0,0,7,5,0,0,0,8,0,0,0,0,0,0,0,8,0,7,5,4,8,0,0,3,0,1,0,0,0,0,7,0,3,2,0,3,0,0,7,0,0,0,6,4,9,0,1,9,0,0,0,0,2,0,0,0,0,0,5,10
0,12,18,0,13,12,16,19,11,0,11,0,19,13,6,0,9,4,0,2,8,6,0,7,0,5,0,4,2,1,10,0,0,3,4,0,0,2,3,3,0,0,9,0,0,3,0,0,8,0,2,0,0,0,2,6,0,0,9,3,0,0,2,7,0,0,6,0,0,8,0,0,3,10,0
9,19,12,14,0,12,11,11,11,18,15,14,15,14,3,0,0,5,10,0,10,1,6,0,0,0,1,0,8,5,0,8,2,3,6,0,0,0,0,0,0,0,5,0,7,9,0,0,4,0,0,4,0,0,1,0,9,0,0,10,6,0,0,5,0,0,0,3,0,0,7,7,0,3,0
0,12,13,17,19,0,11,17,0,18,19,11,12,17,2,2,0,0,0,7,0,4,3,0,9,1,6,0,0,9,0,0,2,0,6,0,0,0,0,0,6,0,5,5,0,0,0,1,9,0,7,0,0,9,0,0,0,5,0,0,0,7,2,10,9,0,0,6,0,0,0,0,0,0,5
1,11,0,17,19,17,0,12,14,13,16,0,15,15,2,0,0,5,0,0,2,3,0,0,10,10,5,0,9,0,0,1,3,9,0,9,2,10,3,0,0,1,1,2,0,0,0,0,0,0,0,2,0,7,0,0,0,0,6,2,0,6,4,5,2,0,0,0,0,0,0,0,0,6,0
2,15,15,15,11,13,14,0,13,16,13,16,17,19,8,10,0,8,0,0,4,0,0,3,0,3,3,0,0,0,0,6,0,8,5,7,3,0,0,0,9,0,6,0,0,7,6,6,0,0,0,9,0,0,0,9,6,6,0,0,0,7,9,0,0,0,6,0,0,4,3,3,0,0,0
0,19,15,0,17,17,14,0,0,18,18,17,11,16,2,0,4,0,1,10,0,9,5,0,0,0,2,0,0,9,6,0,0,0,0,0,1,7,9,9,4,2,8,0,0,4,0,4,4,0,3,9,5,0,0,0,0,6,0,3,0,0,0,0,0,0,0,8,0,0,9,0,4,9,0
0,11,19,15,11,0,11,16,13,0,14,0,0,12,7,0,0,5,0,4,0,5,10,0,0,5,8,0,0,10,0,10,0,0,1,2,0,0,9,5,0,8,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,10,0,4,5,0,0,0,0,0,0,1,0,0,0,0,0,2
0,0,18,17,15,11,13,16,14,19,0,17,16,12,7,0,0,4,0,0,7,4,0,0,0,0,4,0,0,0,0,7,6,0,0,10,4,0,0,0,9,0,3,0,0,0,0,0,4,5,0,5,5,0,0,2,0,2,0,0,0,0,0,0,0,0,9,1,10,7,4,0,0,0,0
0,15,16,14,15,16,17,18,16,0,17,0,19,16,3,0,5,0,0,0,0,0,7,0,0,0,10,0,0,6,0,0,5,7,0,1,0,2,0,0,0,0,0,1,10,9,0,0,3,4,10,0,1,0,0,0,8,0,4,0,0,5,4,8,0,1,0,0,0,0,0,0,0,0,0
0,11,14,17,14,14,11,0,16,13,12,0,0,18,9,0,0,0,0,0,2,0,1,0,9,0,0,0,0,0,0,0,0,0,5,7,0,0,4,0,0,0,8,0,0,0,5,0,0,10,4,0,0,7,0,0,0,0,0,3,0,7,1,0,0,0,0,0,8,0,3,0,1,0,3
0,14,18,18,17,0,12,16,15,11,16,11,15,0,9,5,1,0,9,0,0,0,0,0,7,0,0,7,0,7,0,8,0,8,0,0,2,2,0,0,0,0,8,6,0,0,0,0,0,6,0,0,0,0,0,4,3,0,2,0,0,1,0,10,0,6,0,0,0,7,0,0,8,0,0
3,0,0,0,0,0,10,0,0,0,0,0,10,0,0,19,18,13,19,0,16,15,12,1,0,0,0,0,0,8,2,0,0,0,0,4,0,0,8,0,3,2,8,1,2,0,0,4,3,0,0,5,0,2,10,0,0,0,0,6,5,0,7,0,0,0,7,6,0,0,8,2,3,0,4
0,9,6,0,8,10,2,3,9,0,7,6,0,0,13,0,15,0,14,12,11,0,14,10,0,0,0,3,0,0,0,0,0,10,8,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,3,7,0,0,4,0,10,0,2,6,5,2,1,0,1,0,0,9,0,0,1,6,0,0
