0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,17,12,9,2,0,6,0,6,0,1,0,0,0,6,4,0,0,7,2,5,0,0,0,7,10,0,0,0,6,5,4,0,0,5,5,0,10,0,0,0,0,7,0,8,0,0,4,2,0
15,0,15,10,0,2,7,8,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,7,7,3,5,0,0,0,4,0,0,0,0,0,3,1,0,5,1,8,3,0,0,8,1,2,0
19,13,0,8,6,0,0,0,0,0,0,0,0,4,8,5,0,0,6,0,0,0,3,0,0,0,0,9,1,0,0,2,0,0,0,0,0,0,9,6,0,0,6,0,0,0,3,10,9,0
0,10,10,0,12,18,4,0,6,0,6,0,5,8,7,0,0,0,2,3,0,7,4,0,0,9,7,4,6,8,0,0,0,0,0,7,6,3,7,0,0,0,0,0,1,0,9,0,4,0
9,0,4,13,0,18,10,3,10,4,2,0,2,10,0,0,0,0,3,0,2,0,8,0,3,0,0,4,0,7,0,0,2,1,0,10,5,2,0,10,0,5,0,2,0,0,8,0,0,0
0,7,7,15,12,0,7,0,0,0,8,0,0,0,0,3,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,7,0,0,4,0,0,0,0,0,0,0,0
0,9,0,0,7,2,0,3,0,0,6,3,0,0,0,7,0,8,3,2,0,0,9,0,0,0,0,2,7,0,0,0,0,0,0,0,2,8,0,0,0,3,3,8,9,0,9,0,0,0
0,0,0,10,9,0,6,0,0,2,4,0,0,0,0,9,5,8,5,0,0,7,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,5,6,0,0,4,0,0,6,0,0
0,0,9,0,0,0,0,3,0,0,2,6,0,6,9,0,10,4,7,3,0,0,0,5,0,0,5,2,0,10,8,3,0,0,0,0,0,0,0,5,10,6,0,7,3,0,8,5,2,5
0,4,3,0,7,9,0,3,7,0,15,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,6,3,0,1,0,0,1,0,2,9,0,0,5,0,0,0,0,9,0,0,0,0,7
0,8,9,0,0,0,0,0,0,19,0,2,0,3,2,9,0,0,7,1,6,9,0,2,0,4,0,7,0,9,0,0,2,0,1,9,0,0,0,0,0,0,0,0,4,6,0,0,2,0
9,6,0,0,0,8,0,0,7,0,0,0,18,15,4,0,6,0,0,3,4,6,4,6,0,0,0,0,0,2,3,10,3,7,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0
10,0,9,0,0,6,0,0,0,0,6,15,0,11,9,0,0,0,0,3,1,0,9,0,4,0,0,3,5,0,7,1,5,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,4,4
9,4,0,0,0,9,0,0,0,7,0,12,14,0,7,0,0,8,0,0,0,4,4,3,0,0,0,1,7,2,7,1,0,0,0,3,3,7,1,0,0,2,0,0,0,0,0,0,5,0
0,0,0,0,8,0,1,0,5,0,0,4,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,6,7,0,10,0,2,0,0,0,10,0,6,0,0
5,0,1,0,0,0,1,0,0,0,4,0,0,4,3,0,1,0,9,4,3,0,0,0,10,0,0,0,0,0,6,4,0,5,0,0,0,1,7,0,0,6,3,8,0,0,0,9,2,7
0,7,0,7,0,0,0,7,0,0,8,0,0,3,10,0,0,0,0,0,0,0,0,5,0,9,0,10,5,7,0,4,8,1,0,10,0,3,4,0,8,5,6,0,0,3,0,5,0,0
0,5,0,6,0,4,3,8,0,0,7,0,6,0,0,0,8,0,3,0,0,0,0,5,0,0,0,9,0,0,0,0,8,0,0,0,0,5,0,0,6,0,0,0,8,0,3,0,0,0
1,0,0,4,0,1,0,0,3,0,10,0,0,0,1,1,4,0,0,18,15,0,8,0,6,0,0,0,0,7,0,0,0,0,0,6,0,0,10,0,8,6,6,0,0,0,10,0,0,0
0,0,5,0,0,3,0,4,7,7,0,8,0,9,0,0,0,0,19,0,16,3,0,0,0,0,0,8,0,4,1,0,0,9,0,0,8,9,0,5,0,0,6,9,0,0,0,0,7,0
0,0,6,1,1,6,2,5,5,0,0,0,0,0,0,0,7,0,19,12,0,7,6,0,0,0,0,5,7,10,0,0,6,0,0,0,0,0,5,6,9,1,5,0,7,0,0,0,3,6
9,5,0,0,0,0,0,0,5,9,0,0,0,0,0,0,4,7,0,9,9,0,13,14,0,0,10,0,0,0,0,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,2,1,0,7
10,0,0,0,0,6,0,0,0,0,0,1,0,0,0,6,10,4,0,0,7,19,0,17,8,0,10,5,8,5,8,6,0,10,0,3,0,0,9,5,0,2,0,10,2,0,2,8,0,0
4,0,7,0,6,0,0,1,6,1,8,0,3,0,0,0,0,0,7,0,0,14,16,0,7,1,0,3,0,0,1,0,0,0,10,0,1,10,0,0,10,0,5,5,0,5,0,0,0,0
9,0,5,0,4,0,7,7,4,0,0,3,0,4,8,3,0,0,5,0,1,0,2,10,0,14,16,1,0,4,0,0,9,0,0,10,4,0,0,4,1,0,0,0,0,0,0,0,0,7
10,0,0,0,0,8,1,10,0,9,0,2,4,9,7,3,0,0,1,0,0,0,0,4,11,0,18,7,6,0,0,0,4,10,9,0,2,9,0,0,0,0,5,6,0,10,10,0,7,0
0,2,0,8,0,9,0,1,0,2,0,0,2,0,0,0,6,1,8,0,9,5,0,0,0,12,0,8,7,0,3,2,0,0,8,4,0,1,0,6,0,7,0,0,10,8,0,0,10,5
3,0,0,2,3,0,1,1,0,2,0,0,0,0,8,4,0,3,4,0,0,0,1,0,0,6,0,0,6,0,0,6,5,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,3,0,0,6,2,0,0,5,5,5,0,9,7,7,0,9,0,0,0,0,10,0,19,12,3,0,2,0,0,10,0,10,4,0,0,0,0,9,0,7,0,0,0
7,0,0,0,2,3,1,1,0,0,0,0,0,1,0,9,8,6,3,5,1,4,0,3,7,0,2,0,11,0,17,3,0,0,6,0,8,4,0,0,0,0,6,6,0,10,0,5,0,5
0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,2,0,4,16,16,0,6,0,0,6,5,2,5,3,3,0,0,5,2,0,0,0,10,0,0
0,0,0,0,0,0,7,4,0,0,0,0,1,0,3,8,3,0,0,0,0,9,0,0,0,9,10,0,4,9,6,0,11,15,13,2,6,2,0,9,9,4,0,0,7,0,0,9,3,0
8,4,0,0,8,3,0,0,0,0,0,10,2,0,8,0,0,6,7,0,0,0,4,0,0,0,0,0,0,0,7,0,0,17,17,5,8,5,1,0,0,9,0,1,0,0,0,0,6,0
7,0,4,0,0,5,0,0,0,2,8,8,0,6,8,0,0,0,0,10,0,0,0,0,0,5,2,0,4,0,4,18,13,0,13,7,0,7,2,10,0,7,0,4,0,3,6,4,1,0
6,0,0,4,6,1,0,0,10,0,0,5,0,0,9,0,8,0,0,0,3,2,0,0,8,1,0,0,9,10,0,19,18,16,0,5,0,0,5,0,0,5,1,0,0,0,9,2,0,7
0,0,3,4,0,6,10,10,0,0,0,4,0,7,3,0,5,6,10,6,0,0,0,0,0,0,0,8,0,10,2,0,0,5,0,0,13,18,2,0,0,1,0,6,0,0,8,1,0,0
0,0,0,3,0,0,2,8,0,5,0,1,0,0,0,0,6,5,0,0,0,5,0,9,5,0,6,3,4,0,0,4,0,0,2,18,0,11,4,0,0,0,0,0,4,0,8,6,0,0
5,0,5,0,0,2,0,0,0,1,0,0,0,8,8,4,8,0,0,2,0,0,0,0,0,0,7,2,0,7,0,0,2,0,0,14,18,0,8,5,0,0,4,9,1,0,9,0,0,8
1,3,0,5,6,7,9,0,0,9,1,9,0,0,0,0,0,0,0,2,0,4,0,0,0,0,8,6,0,1,10,9,6,0,0,0,0,0,0,0,0,1,0,0,9,2,0,10,7,0
0,0,5,0,0,8,0,10,9,0,0,0,0,8,0,8,6,3,8,0,0,0,10,0,8,0,0,9,2,3,0,0,0,6,0,0,0,8,2,0,18,15,9,0,0,0,10,4,0,0
0,0,8,9,9,0,0,0,0,0,5,0,6,0,8,0,9,1,0,8,6,0,0,0,5,0,0,9,4,0,0,0,0,0,6,9,3,10,6,0,0,15,5,8,0,0,1,0,4,4
0,5,8,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,1,0,0,1,0,2,10,0,0,10,0,10,0,0,4,0,4,0,4,2,0,16,12,0,2,10,0,0,4,0,5,0
6,0,0,6,5,0,6,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,7,0,2,9,0,0,0,0,0,0,7,0,0,0,0,0,8,0,6,0,0,5,0,0,2,4,0
0,0,0,0,4,9,0,0,6,4,0,0,0,4,0,8,0,0,0,0,0,4,3,0,1,2,0,0,7,0,10,0,0,0,0,0,0,0,0,6,7,4,6,0,12,19,5,0,0,0
0,0,0,0,0,8,0,1,0,0,0,0,0,4,0,0,0,1,0,0,8,0,0,4,4,0,1,0,9,0,0,0,0,0,6,10,2,0,0,7,2,8,0,18,0,19,6,0,0,0
0,6,0,0,10,7,6,0,6,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,3,0,9,0,2,0,0,0,0,0,0,0,0,0,10,9,0,14,0,7,0,0,0
0,0,0,7,0,0,6,7,0,0,10,0,0,0,0,0,2,0,4,5,0,0,0,0,0,3,0,6,0,1,0,9,0,0,0,7,2,2,0,1,0,0,0,0,0,10,0,0,7,0
0,3,0,2,0,0,1,2,0,0,0,0,2,4,0,0,0,0,0,7,0,0,0,0,0,3,5,0,6,0,0,10,0,7,0,4,0,0,0,9,0,0,10,0,0,0,0,0,11,3
5,0,0,0,0,0,6,0,0,0,0,0,6,0,2,0,0,0,0,0,10,2,0,0,0,0,2,0,0,8,0,10,4,2,10,9,0,0,6,8,0,0,9,0,3,3,0,0,0,0
3,0,5,0,0,0,10,3,0,0,10,7,5,0,3,0,7,3,0,8,3,5,6,9,0,3,9,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,2,4,0,0,0,0,2,0
