0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0,2,1,0,0,0,0,0,0,3,5,1,9,0,0,0,1,0,0,0,0,0,3,3,0,3,7,2,6,0,0,4,2,3
19,0,2,9,8,0,0,0,0,0,0,0,0,7,9,2,0,0,5,0,0,0,2,0,0,0,0,5,3,0,0,5,0,0,0
5,0,0,11,3,0,0,0,1,7,9,0,6,0,7,10,0,9,0,4,0,3,0,10,8,3,0,0,0,2,6,0,7,2,0
6,8,18,0,8,9,0,0,0,0,0,8,7,7,8,0,0,0,0,0,7,0,7,0,3,0,0,10,3,0,8,0,0,10,2
6,7,5,0,0,14,1,10,0,0,0,0,4,0,8,0,2,0,10,0,0,2,0,1,0,0,9,2,0,1,7,8,0,10,0
0,3,0,0,0,0,5,0,0,0,0,7,0,2,1,0,10,0,0,0,10,0,0,0,0,9,0,0,0,7,7,0,0,0,0
0,1,8,0,0,9,0,15,12,13,0,0,16,0,7,0,10,0,0,7,1,7,0,0,8,8,0,0,0,1,0,10,1,8,0
0,0,0,0,8,9,13,0,11,0,15,0,11,2,6,0,0,0,2,6,5,6,0,6,0,0,0,9,0,0,0,9,8,0,10
0,0,3,1,0,0,19,0,0,15,0,0,0,7,9,3,7,0,0,6,0,5,0,0,0,0,0,2,0,0,0,0,0,10,0
9,0,0,6,0,0,0,18,0,0,19,0,0,4,0,0,8,0,0,2,0,0,0,0,5,0,0,2,1,0,4,7,0,10,9
4,5,0,0,0,9,14,17,0,18,0,0,19,7,2,0,2,9,7,0,0,0,0,0,0,0,8,7,9,0,3,9,0,2,4
7,1,0,4,8,0,0,12,17,14,16,0,18,5,3,0,5,7,0,0,0,0,5,0,3,0,0,0,10,0,0,0,0,0,0
4,0,2,0,0,5,0,0,13,0,0,0,0,9,7,0,0,9,0,0,0,0,6,0,0,0,0,2,0,7,10,0,0,0,0
0,5,1,2,0,0,10,10,5,3,0,5,0,0,15,0,0,13,12,0,16,8,0,5,0,6,0,0,6,0,2,4,0,0,0
10,0,0,2,0,8,3,5,0,0,0,9,0,15,0,18,0,12,19,0,12,5,0,0,0,0,6,0,6,0,0,2,7,4,6
9,0,0,0,0,0,1,8,5,1,1,0,6,0,16,0,13,18,0,0,13,3,0,0,0,0,0,0,0,0,9,0,0,0,0
6,0,8,0,0,8,0,0,0,0,9,0,5,17,18,0,0,16,12,19,16,4,4,0,10,0,7,0,0,6,4,0,1,10,7
0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,18,0,14,16,17,5,5,5,6,0,0,0,8,0,0,0,2,0,8
0,0,2,0,0,0,1,4,2,0,0,0,3,11,13,0,0,17,0,17,11,7,7,4,8,0,0,0,3,9,7,5,0,0,3
0,0,0,0,0,0,3,0,4,0,0,0,0,0,17,16,0,19,16,0,0,2,0,2,0,7,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,6,0,0,2,0,13,0,11,14,17,14,0,5,8,0,10,0,7,0,0,0,3,0,7,0,0
6,0,2,0,0,0,5,0,0,0,9,0,0,5,3,9,0,3,10,6,0,0,16,19,16,14,1,0,0,0,0,0,9,6,0
0,0,0,2,3,0,0,7,7,10,0,0,0,4,3,3,0,9,0,3,0,0,0,19,0,18,9,0,0,4,0,0,10,4,0
0,4,0,6,6,4,0,6,5,4,0,5,0,6,9,0,1,7,1,0,0,13,19,0,15,0,3,0,9,0,0,0,0,3,0
0,9,0,7,4,7,0,0,10,0,5,0,0,0,3,8,0,0,0,0,9,0,19,0,0,17,2,0,0,0,0,2,0,0,0
0,0,10,0,0,0,4,0,5,0,0,0,4,2,0,0,1,0,9,0,0,0,0,12,0,0,4,0,6,0,0,0,7,7,9
0,0,0,0,0,10,0,5,0,0,0,0,8,0,0,0,0,0,6,0,0,9,0,10,9,8,0,0,19,15,16,0,12,12,0
0,0,0,0,6,0,0,9,0,0,6,0,10,8,7,0,10,0,9,0,0,0,0,0,10,0,17,0,0,16,0,0,13,15,0
0,6,9,0,0,10,0,0,8,10,0,1,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,18,19,13,0,19,0
0,0,2,5,4,6,1,7,6,0,0,0,0,0,0,0,9,0,0,0,1,9,0,0,0,0,0,0,0,0,0,11,0,0,15
8,2,0,0,7,0,0,0,0,0,10,3,6,4,6,0,6,0,0,0,8,10,7,9,0,0,0,14,17,0,0,11,17,0,13
6,0,0,0,0,0,0,7,7,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,12,18,0,0,15,15,13
6,0,0,0,0,0,0,0,0,0,7,3,0,3,9,0,0,0,0,10,0,0,0,0,0,3,0,12,11,0,15,12,0,14,0
10,4,0,0,3,10,0,9,6,1,8,9,8,0,7,0,6,0,0,10,3,0,1,0,5,9,11,18,14,0,0,11,14,0,17
6,0,0,0,0,0,7,5,0,9,0,8,0,0,5,9,1,3,0,7,0,0,0,0,0,8,19,0,14,0,16,12,11,16,0
