0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0,15,10,9,0,0,8,0,0,0,0,2,0,0,0,0,0,9,0,0,0,7,0,0,0,0,8,0,0,0,0,0,1,0,6,1,0,0,10,3,0,0,0,9,0,0,0,6,0
0,0,17,5,0,0,0,0,0,1,0,9,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,9,4,0,2,0,7,0,1,0,0,0,5,1,0
15,18,0,8,10,0,0,0,5,10,0,0,0,1,7,6,0,0,3,7,0,2,0,0,0,0,1,0,4,0,0,10,8,0,1,0,2,0,4,4,10,0,0,0,0,0,0,0,3,1
4,0,0,0,13,0,0,3,3,1,3,0,0,0,8,0,0,0,0,0,9,7,0,1,7,10,3,0,0,1,7,7,0,4,5,1,0,0,0,0,0,0,0,0,5,7,2,0,0,5
0,0,0,14,0,16,4,0,0,0,0,10,1,0,0,10,0,0,0,0,0,0,6,5,0,0,4,0,0,0,1,5,6,0,1,0,1,8,0,9,0,7,0,7,0,9,4,3,0,0
5,0,9,14,13,0,9,0,0,10,1,7,9,6,0,0,0,0,0,8,10,6,7,0,0,0,0,0,5,0,9,0,1,0,0,6,7,0,5,0,0,7,5,5,4,1,0,2,3,0
0,5,0,5,0,8,0,0,9,0,6,0,0,6,9,0,9,9,7,0,7,0,8,0,9,0,0,4,0,0,0,0,9,0,10,6,0,10,0,0,0,5,0,0,0,0,5,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8,0,0,2,0,0,0,0,0,0,0,0,9,0,9,0,0,4,8,1,0,0,9,2,0,0,0,7,0,6,10,5
0,0,4,0,0,0,0,9,0,1,0,0,0,0,0,0,0,10,7,0,0,0,2,2,1,10,0,9,0,0,0,10,0,0,0,5,9,0,4,0,0,5,7,0,0,0,0,7,4,5
9,0,0,1,0,9,0,0,0,0,14,8,0,0,0,0,0,6,0,0,0,0,2,7,0,0,6,0,0,7,0,0,7,0,0,6,0,0,0,0,3,0,0,8,6,0,10,8,0,4
8,6,7,0,0,0,9,0,0,14,0,9,4,0,6,6,5,0,0,0,0,0,0,0,10,4,6,0,2,3,0,4,8,7,6,0,3,10,0,1,8,0,8,2,0,0,0,0,5,0
0,0,0,8,0,0,0,0,0,0,0,0,9,5,0,1,0,0,8,0,3,7,0,0,10,0,0,0,0,7,0,0,0,0,8,0,8,10,0,0,0,0,0,0,0,1,0,6,1,4
0,0,2,10,7,7,0,6,0,9,0,7,0,17,0,5,0,0,2,0,2,7,0,0,0,0,0,0,0,0,3,6,0,0,1,0,3,2,9,0,0,0,2,0,0,8,0,0,0,0
0,9,0,0,7,2,5,3,5,0,0,0,0,0,14,5,9,8,9,4,0,8,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,5,0,0,5,0,0,0,0
0,4,0,0,0,0,10,10,0,1,0,8,18,0,0,9,7,0,3,10,9,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,7,1,4,10,0,0,0,3,0,0,0,6,0,6
0,0,1,0,0,0,5,5,8,0,0,0,1,7,1,0,6,3,0,0,0,2,5,10,5,0,0,8,0,0,0,0,0,0,7,0,2,0,0,0,0,8,0,7,0,8,0,0,8,0
0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,2,0,15,14,0,7,1,0,4,0,2,0,0,0,3,0,3,0,0,0,6,6,0,8,0,0,0,6,0,0,0,10,0,0,6
7,10,0,10,5,4,0,0,0,5,0,0,0,0,0,7,11,0,12,7,0,6,0,0,0,2,1,0,0,7,9,4,0,0,0,2,4,7,0,2,0,4,0,0,0,4,0,0,3,0
3,0,0,0,0,0,0,0,0,8,0,2,0,3,5,8,0,12,0,10,2,1,0,1,0,3,7,0,2,5,4,0,0,2,0,1,0,0,0,0,5,0,5,0,10,0,9,7,10,0
0,3,0,0,0,5,8,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,0,8,0,9,0,0,0,7,3,0,0,9,0,8,0,0,8
0,2,0,0,0,7,3,10,0,0,0,0,0,4,0,8,0,0,0,16,0,16,2,0,0,0,0,0,3,0,0,8,0,1,2,4,0,0,0,9,0,0,0,0,1,0,0,10,0,0
0,2,7,2,0,4,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,10,4,0,0,4,0,0,6,9,0,5,0,0,9,5,0,0,0,0,7,0,0,0,0,0,0
0,0,4,10,4,2,1,4,6,0,0,0,0,0,0,0,6,0,0,0,9,10,0,0,0,0,9,7,6,0,0,3,0,0,0,0,0,1,5,7,7,6,0,3,0,0,0,9,4,7
6,0,0,0,0,0,0,3,9,0,0,0,0,0,0,9,2,0,5,8,0,0,0,0,11,4,0,0,0,0,0,0,9,0,10,1,0,0,0,0,0,0,0,0,0,7,4,0,10,1
0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,2,5,0,0,2,1,0,9,14,0,7,2,8,6,6,0,6,0,10,0,0,6,2,0,4,0,8,10,0,2,4,0,0,0,0
4,0,2,0,7,0,0,2,2,9,5,0,7,0,0,0,0,0,7,0,0,0,6,3,0,0,16,18,5,0,0,7,0,0,0,3,0,8,5,0,0,6,0,4,2,0,8,0,0,0
8,0,6,0,5,0,9,6,9,0,0,1,0,5,9,4,0,0,7,0,6,0,7,5,0,0,0,18,9,0,6,0,0,4,0,0,7,1,0,0,7,3,0,0,0,0,0,0,0,0
