0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,9,0,4,0,6,7,0,10,0,5,0,5,0,9,8,6,0,0,0,8,9,0,3,2,0,0,5,1,7,9,5,0,0,0,0,0,6,2,3,6,0,0,0,0,0,1,0,1,0,7,0,0,10,3,0,1,0,0,6,1,5,9,10,0,6,10,0,0,0,0,2,0,2,0
0,0,19,13,19,5,0,0,6,0,8,0,0,5,5,0,3,8,3,0,3,0,1,0,6,0,0,1,0,0,0,0,10,0,1,1,0,1,0,0,0,8,0,0,0,0,5,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,1,0,0
0,13,0,16,14,9,0,0,2,9,4,0,0,7,1,0,0,0,8,0,3,2,9,0,0,6,0,0,0,0,1,7,0,0,0,0,0,0,0,1,9,0,0,0,10,4,10,7,0,7,0,0,0,7,0,0,0,9,3,0,3,0,0,7,6,0,0,0,0,3,2,1,7,0,0
0,13,14,0,13,8,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,10,3,0,0,1,0,0,8,0,0,1,0,0,7,0,0,0,0,2,0,0,2,9,0,10,1,0,4,4,8,8,0,0,0,1,0,0,6,7,0,2,10,10,0,0,0,0,0,0,0,7,10,1
0,0,19,17,0,10,10,0,6,8,9,9,0,2,7,0,2,5,0,3,6,0,0,0,0,1,0,8,0,0,0,5,0,0,0,0,0,0,0,4,2,0,7,0,0,2,0,3,9,0,0,10,0,0,0,0,10,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,7,0,1
2,3,0,0,7,0,16,11,13,7,8,8,0,8,0,9,0,10,0,3,0,0,9,0,7,2,0,0,0,0,0,0,0,0,10,2,0,0,4,0,3,5,9,0,0,0,3,0,0,5,0,0,0,0,2,0,2,0,0,8,4,3,6,4,0,0,0,0,0,4,7,2,7,6,0
1,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,3,4,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,0,10,8,0,3,0,1,0,0,3,8,0,9,6,8,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,8,4,10,9,0,0,0,10,0,0,0
0,10,0,0,8,0,12,0,17,1,7,6,0,0,0,5,8,10,4,10,0,0,0,4,7,6,4,0,0,6,0,0,0,0,0,0,10,0,10,0,0,0,0,5,0,5,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0
1,0,3,0,1,0,12,19,0,7,0,4,0,0,0,6,9,0,6,0,0,0,10,0,0,0,3,0,0,4,2,7,0,8,9,2,0,0,0,1,0,0,0,0,0,3,10,0,7,0,0,0,3,5,0,0,3,2,8,0,0,0,10,8,4,0,2,0,1,0,0,0,3,0,0
0,0,4,8,0,0,0,0,0,0,0,0,3,0,5,0,9,3,1,0,1,6,1,0,6,0,8,9,0,7,4,6,0,0,3,0,2,0,0,0,0,6,0,8,0,1,0,10,7,1,0,0,1,0,9,0,0,0,6,10,0,0,0,0,7,0,0,0,7,0,0,0,0,1,0
