0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,17,16,18,18,17,1,0,0,9,0,0,0,0,3,0,0,9,5,0,2,1,0,3,9,9,3,0,0,0,8,0,0,2,9,0,3,5,8,0,0,0,0,0,0,0,3,9,5,0
18,0,12,19,16,17,7,0,10,7,2,9,0,10,1,0,5,9,0,7,3,0,0,0,0,7,0,3,0,0,0,7,0,0,0,0,0,0,0,1,2,0,3,0,0,10,0,1,4,0
0,13,0,18,11,15,2,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,2,0,9,7,3,0,0,1,3,4,9,0,9,0,4,0,4,0,4,0,0,2,0,8,5,0,0,0
19,13,0,0,15,0,9,0,0,10,0,6,8,3,0,0,0,7,0,0,10,0,0,0,0,3,0,8,0,0,4,5,10,4,1,0,0,0,0,0,8,8,7,9,2,0,2,1,0,0
13,14,0,17,0,12,0,9,1,0,1,0,0,6,0,0,0,0,7,0,3,0,0,0,0,9,6,0,7,0,7,0,0,6,2,0,8,9,3,0,0,0,0,0,0,2,0,0,0,0
12,15,14,13,15,0,10,6,4,9,0,0,0,10,0,0,0,3,0,6,0,0,6,0,0,0,5,6,5,0,0,0,10,3,5,10,3,0,0,0,1,9,1,8,0,0,3,0,0,0
0,6,0,0,0,0,0,17,0,19,0,19,13,12,19,3,0,3,0,9,0,0,5,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,3,7,0
0,3,0,0,0,2,17,0,15,13,13,14,16,11,18,8,0,0,0,8,9,0,2,0,0,0,9,0,0,0,6,0,0,2,4,8,0,4,10,4,0,0,0,3,0,0,0,0,0,3
6,0,1,0,0,0,19,17,0,11,17,19,16,19,12,1,5,0,0,6,2,6,0,0,0,3,4,3,0,4,0,1,0,0,0,2,0,0,10,0,0,5,2,0,0,0,0,0,0,0
0,8,0,5,2,1,0,13,14,0,16,15,15,19,0,7,4,6,0,5,0,5,8,0,7,5,1,0,0,9,0,3,0,0,0,0,1,0,9,0,4,0,7,10,2,0,0,3,0,5
