0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,16,17,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,19,0,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,16,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,15,0,0,0,4,8,0,3,0,0,0,0,0,0,9,0,0,3,6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,17,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
0,0,0,0,0,0,0,18,19,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,10,0,0
3,3,0,0,0,0,0,9,0,0,0,0,16,0,14,16,16,18,0,13,0,0,17,0,0,0,16,12,0,0,11,16,0,13,12
0,0,0,0,0,0,0,0,0,0,14,0,11,14,0,16,0,12,12,11,0,0,15,15,15,0,0,13,16,15,13,0,0,0,16
0,0,0,0,0,0,0,0,0,0,0,17,0,12,17,16,13,0,0,13,12,13,0,18,17,0,11,17,0,0,0,17,0,17,15
0,0,0,0,0,0,0,0,0,0,15,18,14,0,16,17,17,14,0,11,0,17,12,17,0,13,0,0,16,0,0,12,0,0,14
0,7,0,0,0,0,0,0,0,0,0,0,13,0,0,17,12,14,0,13,15,0,16,0,0,15,0,0,11,17,0,0,0,17,19
0,0,0,0,0,9,0,0,0,0,16,0,15,0,0,0,0,0,0,11,0,0,18,0,13,11,0,16,15,0,11,0,0,19,19
0,0,0,0,4,8,0,0,0,0,0,19,12,16,0,16,0,18,0,16,17,12,0,19,15,12,0,0,18,11,0,18,14,0,16
0,8,5,0,0,0,0,0,0,0,0,19,17,15,12,0,0,0,0,18,18,16,0,0,0,13,11,11,17,0,13,0,0,0,14
0,0,0,0,0,0,0,0,0,10,15,14,11,15,16,0,16,12,0,12,15,12,12,0,0,0,0,12,15,11,0,12,0,19,0
0,0,0,0,0,0,0,4,0,0,0,19,19,0,18,0,0,0,19,0,11,0,13,0,0,13,11,14,15,19,15,12,12,13,18
0,0,0,0,10,0,0,0,0,0,18,12,0,11,15,15,13,0,12,15,0,15,13,17,0,0,0,17,15,14,18,0,0,0,15
0,0,0,0,0,0,2,0,0,0,0,18,0,15,0,15,13,13,0,18,13,0,12,11,12,0,18,13,0,0,16,17,16,18,0
0,0,0,0,0,0,0,0,2,0,11,12,0,17,17,16,19,19,17,16,16,0,0,18,0,0,14,19,18,14,0,18,0,0,14
0,0,0,0,0,0,0,0,0,10,0,14,12,0,0,0,0,0,0,0,0,17,0,0,12,11,0,14,0,0,0,0,15,17,0
0,7,0,0,0,0,0,0,0,0,16,11,15,0,14,15,0,14,14,11,15,0,15,0,0,18,18,0,0,0,0,11,18,0,0
0,0,0,0,0,0,0,0,0,9,12,12,13,16,17,0,15,0,0,16,15,18,0,16,11,0,0,12,11,17,15,0,15,12,0
0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,14,19,0,15,0,11,0,0,12,0,15,0,0,15,0,13
0,0,0,0,0,0,0,0,0,0,12,13,15,14,13,18,15,0,13,0,17,18,0,14,18,12,0,0,0,0,14,16,11,14,16
0,0,0,0,0,0,0,0,0,0,16,13,11,12,12,14,16,16,15,13,0,0,12,19,0,0,19,0,0,0,0,13,18,18,0
0,0,0,0,0,0,0,0,0,0,11,11,12,0,18,0,0,17,0,0,19,0,14,14,0,0,0,0,18,0,15,12,11,0,18
0,0,0,0,0,0,0,0,0,0,12,19,12,15,12,14,18,0,17,15,19,0,0,0,0,11,19,0,13,12,0,16,14,0,0
0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,12,18,0,13,13,18,19,16,0,0,0,14,13,15,18,12,0,17,14,0
0,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,12,19,13,0,19,0,0,18,18,0,0,11,18,13,0,14,0
0,4,0,0,0,0,0,0,0,0,14,18,0,14,15,19,0,0,0,12,0,0,15,0,17,11,15,19,0,13,0,0,15,0,15
0,0,0,0,0,3,0,0,0,0,0,11,0,16,14,13,0,0,14,11,14,16,18,0,0,14,11,12,11,0,18,0,0,0,0
