1	3 
2	3 
3	2 
4	2 
5	1 
6	3 
7	2 
8	2 
9	3 
10	3 
11	3 
12	1 
13	3 
14	1 
15	1 
16	3 
17	2 
18	2 
19	1 
20	1 
21	1 
22	2 
23	2 
24	1 
25	3 
26	2 
27	3 
28	2 
29	1 
30	1 
31	3 
32	2 
33	1 
34	2 
35	2 
36	1 
37	2 
38	3 
39	1 
40	3 
41	1 
42	1 
43	1 
44	1 
45	1 
46	3 
47	3 
48	2 
49	2 
50	3 
51	3 
52	2 
53	3 
54	1 
55	1 
56	1 
57	2 
58	3 
59	3 
60	1 
61	2 
62	3 
63	2 
64	1 
65	3 
66	2 
67	3 
68	1 
69	3 
70	2 
71	2 
72	3 
73	3 
74	1 
75	2 
76	2 
77	2 
78	2 
79	3 
80	2 
81	1 
82	3 
83	2 
84	1 
85	3 
86	1 
87	1 
88	3 
89	1 
90	3 
91	1 
92	1 
93	3 
94	1 
95	3 
96	1 
97	1 
98	1 
99	1 
100	1 
