1	1 
2	6 
3	12 
4	12 
5	11 
6	11 
7	12 
8	5 
9	9 
10	2 
11	7 
12	9 
13	2 
14	4 
15	8 
16	2 
17	3 
18	12 
19	2 
20	9 
21	6 
22	11 
23	9 
24	1 
25	10 
26	9 
27	12 
28	9 
29	3 
30	9 
31	6 
32	4 
33	3 
34	2 
35	3 
36	11 
37	6 
38	4 
39	4 
40	7 
41	9 
42	12 
43	2 
44	4 
45	10 
46	4 
47	12 
48	1 
49	8 
50	11 
51	3 
52	9 
53	10 
54	8 
55	7 
56	3 
57	12 
58	6 
59	9 
60	9 
61	2 
62	3 
63	1 
64	9 
65	8 
66	5 
67	1 
68	10 
69	6 
70	7 
71	2 
72	9 
73	7 
74	4 
75	4 
76	7 
77	9 
78	10 
79	6 
80	10 
81	2 
82	2 
83	5 
84	10 
85	7 
86	2 
87	5 
88	1 
89	9 
90	7 
91	8 
92	1 
93	6 
94	2 
95	8 
96	8 
97	11 
98	7 
99	6 
100	10 
101	2 
102	4 
103	5 
104	6 
105	1 
106	2 
107	5 
108	6 
109	3 
110	12 
111	3 
112	3 
113	9 
114	8 
115	3 
116	11 
117	9 
118	8 
119	8 
120	8 
121	11 
122	8 
123	12 
124	8 
125	6 
126	11 
127	5 
128	9 
129	8 
130	7 
131	2 
132	9 
133	3 
134	5 
135	8 
136	6 
137	12 
138	11 
139	6 
140	4 
141	2 
142	10 
143	12 
144	11 
145	4 
146	8 
147	1 
148	7 
149	6 
150	7 
151	9 
152	4 
153	10 
154	12 
155	12 
156	1 
157	4 
158	2 
159	9 
160	7 
161	3 
162	1 
163	5 
164	5 
165	8 
166	10 
167	1 
168	7 
169	2 
170	11 
171	1 
172	11 
173	3 
174	5 
175	4 
176	3 
177	10 
178	8 
179	7 
180	12 
181	8 
182	5 
183	1 
184	3 
185	10 
186	9 
187	2 
188	7 
189	6 
190	12 
191	4 
192	5 
193	10 
194	3 
195	4 
196	5 
197	4 
198	4 
199	10 
200	10 
201	6 
202	11 
203	1 
204	9 
205	5 
206	1 
207	3 
208	5 
209	8 
210	11 
211	11 
212	9 
213	3 
214	5 
215	9 
216	12 
217	1 
218	7 
219	7 
220	3 
221	1 
222	10 
223	5 
224	5 
225	11 
226	12 
227	12 
228	11 
229	7 
230	12 
231	10 
232	10 
233	8 
234	2 
235	4 
236	7 
237	3 
238	8 
239	2 
240	9 
241	3 
242	11 
243	5 
244	11 
245	6 
246	12 
247	1 
248	4 
249	11 
250	5 
251	3 
252	2 
253	1 
254	6 
255	6 
256	6 
257	2 
258	6 
259	12 
260	5 
261	11 
262	10 
263	9 
264	5 
265	1 
266	6 
267	1 
268	10 
269	1 
270	10 
271	9 
272	10 
273	10 
274	1 
275	5 
276	9 
277	5 
278	10 
279	9 
280	1 
281	9 
282	8 
283	8 
284	9 
285	1 
286	8 
287	1 
288	9 
289	9 
290	8 
291	1 
292	1 
293	9 
294	8 
295	8 
296	8 
297	8 
298	8 
299	9 
300	9 
